,pos,words
10001,"Substantiv, maskulin",Vormonat
10002,[],Platzherr
10003,"Substantiv, maskulin",Abiturient
10004,Adjektiv,hoffnungsvoll
10005,"substantiviertes Adjektiv, feminin",Buendnisgruene
10006,Adverb,ungern
10007,Adjektiv,ungenuegend
10008,"Substantiv, maskulin",Fink
10009,"Substantiv, Neutrum",Facebook
10010,[],Darmstaedter
10011,"Substantiv, Neutrum",Formular
10012,"['Substantiv, feminin', 'Substantiv, maskulin']",Diamant
10013,"Substantiv, maskulin",Chirurg
10014,"Substantiv, maskulin",Kragen
10015,Adjektiv,leichtfertig
10016,Adjektiv,wirtschaftspolitisch
10017,"Substantiv, feminin",Migration
10018,"['Adjektiv', 'Substantiv, maskulin']",Genfer
10019,"Substantiv, Neutrum",Sekretariat
10020,"Substantiv, maskulin",Matchball
10021,"Substantiv, Neutrum",Taschenbuch
10022,"Substantiv, Neutrum",Kindergeld
10023,"Substantiv, feminin",Madame
10024,"Substantiv, feminin",Jahrhundertwende
10025,starkes Verb,einspringen
10026,Adverb,beiseite
10027,schwaches Verb,einkehren
10028,"Substantiv, feminin",Krawatte
10029,[],benachteiligt
10030,"Substantiv, feminin",Fauna
10031,Adjektiv,verkuerzt
10032,starkes Verb,vordringen
10033,Zahlwort,derlei
10034,"Substantiv, maskulin",Polizeipraesident
10035,"Substantiv, maskulin",Appetit
10036,"Substantiv, feminin",Zeugenaussage
10037,"Substantiv, maskulin",Klient
10038,"Substantiv, maskulin",Rennfahrer
10039,"Substantiv, feminin, oder Substantiv, Neutrum",Furore
10040,"Substantiv, maskulin",Argentinier
10041,"Substantiv, feminin",Hierarchie
10042,"Substantiv, feminin",Kaiserin
10043,"Substantiv, Neutrum",Sauer
10044,[],Sparen
10045,Adverb,fehl
10046,"Substantiv, maskulin",Posaunenchor
10047,"Substantiv, maskulin",Finanzausgleich
10048,"Substantiv, Neutrum",Evangelium
10049,"Substantiv, feminin",DVD
10050,"Substantiv, feminin",Schale
10051,"Substantiv, feminin",Handvoll
10052,Adjektiv,nostalgisch
10053,"Substantiv, feminin",Blutspende
10054,"Substantiv, feminin",Rhetorik
10055,"Substantiv, Neutrum",Gelingen
10056,"Substantiv, maskulin",Weihbischof
10057,starkes Verb,befallen
10058,schwaches Verb,ausbuchen
10059,Adjektiv,unrealistisch
