,pos,words
10060,"Substantiv, feminin",Gleiche
10061,"Substantiv, Neutrum",Kap
10062,"Substantiv, Neutrum",Mittelfranken
10063,"['Substantiv, Neutrum', 'Substantiv, Neutrum']",Delta
10064,"Substantiv, Neutrum",Schwergewicht
10065,Adjektiv,abrupt
10066,"Substantiv, maskulin",Kaefig
10067,"Substantiv, Neutrum",Kontingent
10068,schwaches Verb,sprudeln
10069,"Substantiv, feminin",Bedienung
10070,Adjektiv,diskret
10071,schwaches Verb,lindern
10072,"Substantiv, Neutrum",Verlangen
10073,schwaches Verb,waermen
10074,"Substantiv, feminin",Besorgnis
10075,"Substantiv, feminin",Lebensversicherung
10076,Adjektiv,rosig
10077,"Substantiv, maskulin",Veranstaltungsort
10078,"Substantiv, maskulin",Revolutionaer
10079,[],entfuehrt
10080,schwaches Verb,naehen
10081,"Substantiv, Neutrum",Fahrverbot
10082,"Substantiv, feminin",Rechtslage
10083,"Substantiv, Neutrum",Teilchen
10084,"Substantiv, Neutrum",Molekuel
10085,"Substantiv, maskulin",Kaemmerer
10086,schwaches Verb,gereichen
10087,"['Eigenname', 'Substantiv, feminin']",Venus
10088,"Substantiv, feminin",Geselligkeit
10089,"Substantiv, maskulin",Referee
10090,word not found,Bildungswerk
10091,[],abgestellt
10092,"Substantiv, feminin",Population
10093,"Substantiv, Neutrum",Bildungszentrum
10094,"Substantiv, maskulin",Landesvorstand
10095,"Substantiv, maskulin",Wissenschafter
10096,"Substantiv, maskulin",User
10097,"Substantiv, feminin",Prosa
10098,Adjektiv,trist
10099,"Substantiv, feminin",Einfahrt
10100,"Substantiv, maskulin",Tower
10101,Adjektiv,merklich
10102,schwaches Verb,klaffen
10103,[],offenbart
10104,schwaches Verb,erpressen
10105,,angestellt
10106,Adjektiv,ungestoert
10107,Adjektiv,farbenfroh
10108,Adverb,ineinander
10109,"substantiviertes Adjektiv, feminin",Aufstaendische
10110,"Substantiv, feminin",Spielregel
10111,Adjektiv,fossil
10112,starkes Verb,obliegen
10113,"Substantiv, feminin",Bezirksklasse
10114,[],inhaftiert
10115,"Substantiv, maskulin",Sprengsatz
10116,schwaches Verb,impfen
10117,"Substantiv, feminin",Heilung
10118,"Substantiv, Neutrum",Uran
10119,"Substantiv, maskulin",Turn
10120,Adjektiv,massenhaft
10121,"['Eigenname', 'Substantiv, feminin']",Fichte
10122,"Substantiv, maskulin",Schlosspark
10123,"Substantiv, Neutrum",Ultimatum
10124,"Substantiv, feminin",Verschlechterung
10125,"Substantiv, feminin",Schriftfuehrerin
10126,"Substantiv, maskulin",Sprinter
10127,Adjektiv,boehmisch
10128,schwaches Verb,erspielen
10129,Adjektiv,gefaellig
10130,"Substantiv, Neutrum",Gebilde
10131,[],beobachtet
10132,"Substantiv, feminin",Bergung
10133,"Substantiv, maskulin",Aufprall
10134,"Substantiv, feminin",Beschaffung
10135,"Substantiv, feminin",Roemerstrasze
10136,starkes Verb,beschieszen
10137,"Substantiv, maskulin",Stiefel
10138,"Substantiv, feminin",Fastnacht
10139,Adjektiv,gluehend
10140,Adjektiv,diakonisch
10141,word not found,Rheinlandliga
10142,"Substantiv, feminin",Folklore
10143,starkes Verb,frieren
10144,"Substantiv, maskulin",Leitartikel
10145,"Substantiv, maskulin",Pfleger
10146,"Substantiv, maskulin",Putsch
10147,"Substantiv, feminin",Kameradschaft
10148,schwaches Verb,kursieren
10149,"Substantiv, Neutrum",Tribunal
10150,Adjektiv,ungeliebt
10151,"Substantiv, Neutrum",Praedikat
10152,schwaches Verb,ueberschatten
10153,"['starkes Verb', 'Adjektiv']",verkommen
10154,schwaches Verb,einzahlen
10155,"Substantiv, feminin",Reederei
10156,[],favorisiert
10157,"Substantiv, feminin",Banane
10158,Adjektiv,haltbar
10159,word not found,Eurosport
10160,"Substantiv, feminin",Stromversorgung
10161,,verschuldet
10162,Adjektiv,unvorstellbar
10163,"Substantiv, maskulin",Zuechter
10164,"Substantiv, maskulin",Jugendraum
10165,"Substantiv, maskulin",Seelsorger
10166,schwaches Verb,optimieren
10167,"Substantiv, maskulin",Sparkurs
10168,"['Adjektiv', 'Substantiv, maskulin']",Magdeburger
10169,Adverb,sodann
10170,schwaches Verb,hausen
10171,schwaches Verb,leeren
10172,"Substantiv, Neutrum",Menschenleben
10173,"Substantiv, feminin",Sosze
10174,"Substantiv, maskulin",Alane
10175,"substantiviertes Adjektiv, feminin",Prostituierte
10176,"Substantiv, feminin",Festschrift
10177,"Substantiv, maskulin",Hubraum
10178,[],wiederkehrend
10179,"Substantiv, feminin",Radtour
10180,starkes Verb,aufbieten
10181,"Substantiv, maskulin",Grabstein
10182,"Substantiv, feminin",Hamas
10183,"Substantiv, feminin",Unzufriedenheit
10184,schwaches Verb,erahnen
10185,schwaches Verb,verruecken
10186,schwaches Verb,differenzieren
10187,Adjektiv,folgerichtig
10188,schwaches Verb,blaettern
10189,schwaches Verb,expandieren
10190,"Substantiv, feminin",Nationalversammlung
10191,Adjektiv,unbedeutend
10192,starkes Verb,verscheiden
10193,Adjektiv,vorstehend
10194,"Substantiv, feminin",Gemeinderatswahl
10195,"Substantiv, feminin",Volksgruppe
10196,"Substantiv, maskulin",Gastwirt
10197,schwaches Verb,erwaermen
10198,schwaches Verb,heimsuchen
10199,"Substantiv, Neutrum",Kleidungsstueck
10200,Adjektiv,eindruecklich
10201,schwaches Verb,ertappen
10202,"['Adverb', 'Adjektiv']",versehentlich
10203,Adverb,abwechselnd
10204,"Substantiv, feminin",Druckerei
10205,"Substantiv, maskulin",Balken
10206,"['Substantiv, feminin', 'Substantiv, Neutrum', 'Substantiv, feminin']",Wehe
10207,"Substantiv, Neutrum",Monument
10208,schwaches Verb,funkeln
10209,"Substantiv, maskulin",Energiekonzern
10210,"Substantiv, Neutrum",Versteck
10211,"Substantiv, feminin",Oase
10212,Adjektiv,ungenutzt
10213,"['starkes Verb', 'starkes Verb']",durchdringen
10214,[],Muenchener
10215,Adjektiv,rechtmaeszig
10216,Adjektiv,traumhaft
10217,"Substantiv, feminin",Beschleunigung
10218,Adjektiv,programmatisch
10219,"Substantiv, maskulin",Helikopter
10220,"Substantiv, maskulin",Energieversorger
10221,Adjektiv,irdisch
10222,Adjektiv,unscheinbar
10223,starkes Verb,gebieten
10224,"['Adjektiv', 'Substantiv, maskulin']",Kieler
10225,"Substantiv, maskulin",Saisonauftakt
10226,schwaches Verb,einsperren
10227,"Substantiv, Neutrum",Kulturgut
10228,[],erzeugt
10229,schwaches Verb,peilen
10230,,angetan
10231,"Substantiv, maskulin",Dramatiker
10232,"Substantiv, Neutrum, oder Substantiv, maskulin",Pub
10233,schwaches Verb,droehnen
10234,"['Adjektiv', 'schwaches Verb']",verlegen
10235,"Substantiv, feminin",Auszeit
10236,"Substantiv, maskulin",Zeitzeuge
10237,"Substantiv, maskulin",Creek
10238,schwaches Verb,wittern
10239,"Substantiv, Neutrum",Schlafzimmer
10240,Adverb,vormittags
10241,"Substantiv, maskulin",Auftrieb
10242,"Substantiv, Neutrum",Duett
10243,"['Substantiv, maskulin', 'Substantiv, maskulin']",Vollzug
10244,"Substantiv, feminin",Gegenseite
10245,schwaches Verb,ankurbeln
10246,"Substantiv, maskulin",Lehrplan
10247,"Substantiv, feminin",Konsolidierung
10248,"Substantiv, feminin",Verschwoerung
10249,"['starkes Verb', 'schwaches Verb']",schleifen
10250,Zahlwort,sechzig
10251,Adjektiv,winterlich
10252,"Substantiv, feminin",Begabung
10253,unregelmäßiges Verb,hinziehen
10254,starkes Verb,abkommen
10255,"Substantiv, maskulin",Karfreitag
10256,Adjektiv,miserabel
10257,"Substantiv, feminin",Nonne
10258,schwaches Verb,weitern
10259,"Substantiv, feminin",Wiege
10260,"['Substantiv, feminin', 'Substantiv, feminin']",Folie
10261,"Substantiv, feminin",Arbeitslosenzahl
10262,"Substantiv, feminin",Abloesung
10263,schwaches Verb,huellen
10264,Adjektiv,spurlos
10265,Adjektiv,rhetorisch
10266,"Substantiv, maskulin",Feierabend
10267,Adjektiv,lau
10268,Adjektiv,forsch
10269,Adjektiv,rechnerisch
10270,starkes Verb,ausklingen
10271,"Substantiv, feminin",Wuerdigung
10272,Adjektiv,verfassungsrechtlich
10273,"Substantiv, Neutrum",Gate
10274,"Substantiv, maskulin",Golfplatz
10275,schwaches Verb,verharren
10276,"Substantiv, feminin",Enthuellung
10277,"Substantiv, Neutrum",Bedauern
10278,"Substantiv, Neutrum",Hochamt
10279,"Substantiv, Neutrum",Praeparat
10280,"Substantiv, Neutrum",Vorkommnis
10281,"Substantiv, feminin",Magie
10282,Adverb,zusehends
10283,"Substantiv, feminin",Sportlerin
10284,"['Substantiv, feminin', 'Substantiv, feminin']",Schleife
10285,"Substantiv, maskulin",Kinderwagen
10286,[],gegenueberliegend
10287,"Substantiv, feminin",Zubereitung
10288,"Substantiv, feminin",Seuche
10289,Adjektiv,markiert
10290,Adjektiv,straff
10291,"Substantiv, feminin",Professorin
10292,Adjektiv,hoerbar
10293,Adjektiv,unfair
10294,"Substantiv, maskulin",Stumpf
10295,"Substantiv, maskulin",Foerderkreis
10296,schwaches Verb,praemieren
10297,"Substantiv, maskulin",Kritikpunkt
10298,"Substantiv, feminin",Gleichberechtigung
10299,"['Substantiv, maskulin', 'Adjektiv']",Warschauer
10300,Adjektiv,kraus
10301,word not found,Weiszruszland
10302,Adjektiv,satirisch
10303,Adjektiv,unverwechselbar
10304,"Substantiv, Neutrum",Internat
10305,Adjektiv,nachweislich
10306,[],Rathausplatz
10307,[],genehmigt
10308,schwaches Verb,spuelen
10309,unregelmäßiges Verb,einwenden
10310,"Substantiv, feminin",Eiszeit
10311,"Substantiv, maskulin",Walzer
10312,"Substantiv, maskulin",Kurier
10313,,aufstrebend
10314,Adjektiv,mehrjaehrig
10315,"Substantiv, maskulin",Hochschullehrer
10316,"Substantiv, maskulin",Kopfschmerz
10317,schwaches Verb,abfuehren
10318,Adverb,herab
10319,schwaches Verb,revidieren
10320,schwaches Verb,vorhersagen
10321,"Substantiv, feminin",Winde
10322,Adjektiv,verblueffend
10323,"Substantiv, feminin",Verbindlichkeit
10324,Adjektiv,schillernd
10325,"Substantiv, feminin",Ausrede
10326,"Substantiv, Neutrum",Rindfleisch
10327,Adjektiv,korrupt
10328,"Substantiv, maskulin",Prediger
10329,schwaches Verb,bejubeln
10330,word not found,Ortsrat
10331,"Substantiv, feminin",Summa
10332,"Substantiv, maskulin",Privatsender
10333,"Substantiv, Neutrum, oder Substantiv, maskulin",Haschisch
10334,"Substantiv, maskulin",Spott
10335,schwaches Verb,schrauben
10336,Zahlwort,drittel
10337,"Substantiv, feminin",Wahlperiode
10338,"Substantiv, maskulin",Lichtblick
10339,"Substantiv, Neutrum",Emirat
10340,"Substantiv, maskulin",Wuerfel
10341,"['Substantiv, feminin', 'Substantiv, feminin']",Kluft
10342,schwaches Verb,waehnen
10343,"Substantiv, Neutrum",Einzugsgebiet
10344,schwaches Verb,rechen
10345,Adjektiv,nahtlos
10346,"Substantiv, maskulin",Anwaerter
10347,Adjektiv,unuebersehbar
10348,"Substantiv, Neutrum",Pendant
10349,"Substantiv, Neutrum",Streichquartett
10350,"Substantiv, maskulin",Koran
10351,"Substantiv, maskulin",Denker
10352,"Substantiv, maskulin",Zerfall
10353,schwaches Verb,blenden
10354,"Substantiv, maskulin",Gratulant
10355,Adjektiv,verkaufsoffen
10356,"Substantiv, maskulin",Reigen
10357,"Substantiv, maskulin",Gewerbeverein
10358,"Substantiv, maskulin",Waechter
10359,"Substantiv, feminin",Muttersprache
10360,Adjektiv,ertraeglich
10361,"Substantiv, maskulin",Kartenvorverkauf
10362,"Substantiv, Neutrum",Mehrfamilienhaus
10363,"Substantiv, maskulin",Stellplatz
10364,"Substantiv, feminin",Ueberzahl
10365,schwaches Verb,privatisieren
10366,"Substantiv, maskulin",Detektiv
10367,"Substantiv, feminin",Unterzahl
10368,"Substantiv, maskulin, oder Substantiv, Neutrum",Filter
10369,"Substantiv, Neutrum",Bike
10370,"Substantiv, feminin",Made
10371,"Substantiv, feminin",Bestleistung
10372,"Substantiv, feminin",Bekanntschaft
10373,"Substantiv, maskulin",Schreiner
10374,"Substantiv, feminin",Nachhaltigkeit
10375,"Substantiv, feminin",Liebesgeschichte
10376,"Substantiv, feminin",Petition
10377,schwaches Verb,bellen
10378,[],verfuegt
10379,"Substantiv, feminin",Sicherheitsvorkehrung
10380,"Substantiv, feminin",Sicherheitspolitik
10381,schwaches Verb,hadern
10382,"Substantiv, maskulin",Vormarsch
10383,"Substantiv, maskulin",Mohr
10384,"Substantiv, feminin",Tuete
10385,Adjektiv,naturnah
10386,Pluralwort,Betriebskosten
10387,Adjektiv,kostspielig
10388,schwaches Verb,verzieren
10389,[],angesprochen
10390,starkes Verb,einfrieren
10391,"Substantiv, maskulin",Most
10392,"Substantiv, feminin",Eigenstaendigkeit
10393,word not found,Bezirksligist
10394,"Substantiv, feminin",Regierungskoalition
10395,schwaches Verb,schraenken
10396,Konjunktion,geschweige
10397,"Substantiv, Neutrum",Gesamtjahr
10398,"Substantiv, feminin",Zuordnung
10399,"Substantiv, maskulin",Beschuss
10400,Adjektiv,verletzungsbedingt
10401,"['Substantiv, Neutrum', 'Substantiv, maskulin, oder Substantiv, Neutrum']",Trumm
10402,starkes Verb,ausnehmen
10403,"Substantiv, maskulin",Lebensstil
10404,"Substantiv, feminin",Rentnerin
10405,schwaches Verb,zurechnen
10406,Adjektiv,fulminant
10407,schwaches Verb,kratzen
10408,"Substantiv, Neutrum",Arbeitsgericht
10409,"Substantiv, maskulin, oder Substantiv, Neutrum",Gau
10410,schwaches Verb,klemmen
10411,,gewoehnt
10412,schwaches Verb,nachsagen
10413,"Substantiv, feminin",Muendung
10414,"Substantiv, feminin",Patenschaft
10415,"Substantiv, maskulin",Bahnuebergang
10416,"Substantiv, maskulin",Hacker
10417,Adjektiv,unbewusst
10418,"Substantiv, maskulin",Aufwaertstrend
10419,Adjektiv,respektiv
10420,schwaches Verb,bluten
10421,"['Adjektiv', 'Adjektiv']",informell
10422,"Substantiv, maskulin",Ranger
10423,"Substantiv, Neutrum",Grenzgebiet
10424,"Substantiv, maskulin",Gesundheitszustand
10425,"Substantiv, feminin",Mensa
10426,"Substantiv, Neutrum",Double
10427,schwaches Verb,schwitzen
10428,"['Substantiv, maskulin', 'Adjektiv']",Trierer
10429,"Substantiv, Neutrum",Abo
10430,"Substantiv, maskulin",Crash
10431,[],gesteuert
10432,Adjektiv,dreist
10433,"Substantiv, feminin",Bundesbahn
10434,"Substantiv, feminin",Gesinnung
10435,"Substantiv, Neutrum",Raumschiff
10436,"Substantiv, feminin",Kreisstrasze
10437,"substantiviertes Adjektiv, feminin",Aufsichtsratsvorsitzende
10438,"Substantiv, maskulin",Wortlaut
10439,"Substantiv, maskulin",Programmpunkt
10440,starkes Verb,auffahren
10441,Adjektiv,kategorisch
10442,"Substantiv, maskulin",Komiker
10443,"Substantiv, feminin",Prostitution
10444,"Substantiv, feminin",Staedtepartnerschaft
10445,Adjektiv,unkonventionell
10446,"['Substantiv, Neutrum']",Des
10447,"Substantiv, maskulin",Kapitalmarkt
10448,Adverb,durcheinander
10449,"Substantiv, maskulin",Ausnahmezustand
10450,"Substantiv, maskulin",Verhandlungstag
10451,"Substantiv, maskulin",Zulauf
10452,"Substantiv, feminin",Bahnlinie
10453,"['Adjektiv', 'Adjektiv']",eitel
10454,"Substantiv, feminin",Trauung
10455,"Substantiv, maskulin",Notar
10456,starkes Verb,herankommen
10457,"Substantiv, maskulin",Blickwinkel
10458,starkes Verb,herkommen
10459,schwaches Verb,verfuehren
10460,"['None', 'Adjektiv']",geweiht
10461,Adjektiv,herausgegeben
10462,"Substantiv, maskulin",Stichtag
10463,"Substantiv, Neutrum",Stadthaus
10464,"Substantiv, Neutrum",Bauprojekt
10465,"Substantiv, feminin",Kulturgeschichte
10466,Adjektiv,versiert
10467,"Substantiv, maskulin",Akademiker
10468,"Substantiv, Neutrum",Kommen
10469,"Substantiv, feminin",Therme
10470,schwaches Verb,veraeuszern
10471,"Substantiv, Neutrum",Feuilleton
10472,"Substantiv, Neutrum",Brauchtum
10473,"Substantiv, maskulin",Startplatz
10474,Adjektiv,oesterreichweit
10475,"Substantiv, maskulin",Gelaendewagen
10476,"Substantiv, maskulin",Joker
10477,word not found,Liederkranz
10478,"Substantiv, feminin",Assoziation
10479,starkes Verb,vorbeikommen
10480,"Substantiv, feminin",Lebensfreude
10481,schwaches Verb,mutmaszen
10482,Adjektiv,sieglos
10483,"Substantiv, maskulin",Hauptpreis
10484,"Substantiv, maskulin",Radprofi
10485,"Substantiv, maskulin",Fuszweg
10486,"Substantiv, feminin",Order
10487,"substantiviertes Adjektiv, feminin",Beauftragte
10488,starkes Verb,beschreiten
10489,"Substantiv, maskulin",Cousin
10490,"Substantiv, maskulin",Abschlag
10491,schwaches Verb,begehren
10492,"Substantiv, feminin",Kanone
10493,"Substantiv, maskulin",Sockel
10494,"Substantiv, feminin",Vogelgrippe
10495,Adjektiv,aufgeschlossen
10496,"Substantiv, Neutrum",Baudenkmal
10497,"Substantiv, maskulin, oder Substantiv, Neutrum",Eingangsbereich
10498,"Substantiv, maskulin",Juenger
10499,"Substantiv, maskulin",Lebensgefaehrte
10500,"Substantiv, maskulin",Krawall
10501,"Substantiv, feminin",Produktivitaet
10502,[],verzeichnet
10503,starkes Verb,kriechen
10504,schwaches Verb,ersuchen
10505,"Substantiv, Neutrum",Oberland
10506,"Substantiv, feminin",Wiedergutmachung
10507,"Substantiv, feminin",Bushaltestelle
10508,"Substantiv, Neutrum",Tageslicht
10509,schwaches Verb,schimmern
10510,"substantiviertes Adjektiv, feminin",Vertriebene
10511,"Substantiv, Neutrum",Wuerstchen
10512,"Substantiv, maskulin",Gymnasiast
10513,[],Caritasverband
10514,"Substantiv, maskulin",Fuehrungstreffer
10515,schwaches Verb,wettmachen
10516,"Substantiv, feminin",Friedenstruppe
10517,"Substantiv, maskulin",Entertainer
10518,"Substantiv, Neutrum",Erzeugnis
10519,starkes Verb,standhalten
10520,Adjektiv,punktgleich
10521,Adjektiv,einstuendig
10522,"Substantiv, maskulin",Jugendchor
10523,"['Substantiv, maskulin', 'Substantiv, maskulin']",Same
10524,schwaches Verb,komplizieren
10525,schwaches Verb,vergiften
10526,"Substantiv, Neutrum",Treibhausgas
10527,"Substantiv, feminin",Gedenktafel
10528,"Substantiv, maskulin",Klubobmann
10529,"Substantiv, Neutrum",Groszereignis
10530,[],Kalkuel
10531,schwaches Verb,jammern
10532,schwaches Verb,veralten
10533,schwaches Verb,versperren
10534,"Substantiv, feminin",Koalitionsverhandlung
10535,Adjektiv,grell
10536,"Substantiv, feminin",Todesursache
10537,"substantiviertes Adjektiv, feminin",Obdachlose
10538,"Substantiv, maskulin",Staatsminister
10539,"Substantiv, maskulin",Zar
10540,Adjektiv,rigoros
10541,"Substantiv, Neutrum",Porzellan
10542,"Substantiv, maskulin",Inder
10543,"Substantiv, Neutrum",Spanisch
10544,"Substantiv, feminin",Fragestellung
10545,"Substantiv, feminin",Eleganz
10546,schwaches Verb,foltern
10547,Adjektiv,irrefuehrend
10548,"Substantiv, maskulin",Schirmherr
10549,"Substantiv, maskulin",Sprechtag
10550,[],anmutend
10551,schwaches Verb,haken
10552,[],renoviert
10553,"Substantiv, feminin",Ausbeutung
10554,"Substantiv, feminin",Europawahl
10555,Adjektiv,unentgeltlich
10556,Adjektiv,aussichtslos
10557,"Substantiv, feminin",Bedraengnis
10558,schwaches Verb,geleiten
10559,"Substantiv, feminin",Stellvertreterin
10560,starkes Verb,misslingen
10561,[],Freiburger
10562,"Substantiv, maskulin",Samstagmorgen
10563,"Substantiv, feminin",Sozialdemokratie
10564,"Substantiv, maskulin",Volksmund
10565,"Substantiv, feminin",Belagerung
10566,Adjektiv,studentisch
10567,"Substantiv, maskulin",Schnaps
10568,"Substantiv, feminin",Nationalbank
10569,Adjektiv,durchgaengig
10570,"Substantiv, feminin, oder Substantiv, maskulin",Kontur
10571,"Substantiv, maskulin",Hoffnungstraeger
10572,"Substantiv, maskulin",Abstecher
10573,"Substantiv, feminin",Jahresfrist
10574,"Substantiv, feminin",Musikgruppe
10575,schwaches Verb,mildern
10576,"Substantiv, maskulin",Koordinator
10577,"Substantiv, maskulin",Vorschein
10578,"Substantiv, feminin",Torfolge
10579,"Substantiv, Neutrum",Familienunternehmen
10580,Adjektiv,weitestgehend
10581,"Substantiv, Neutrum",Geruest
10582,Adjektiv,filmisch
10583,"Substantiv, feminin",Masche
10584,Adjektiv,ausgestellt
10585,Adjektiv,euphorisch
10586,"Substantiv, feminin",Atomkraft
10587,"Substantiv, feminin",Automobilindustrie
10588,"Substantiv, Neutrum",Sportzentrum
10589,"Substantiv, feminin",Bilanzsumme
10590,"Substantiv, Neutrum",Wintersemester
10591,"substantiviertes Adjektiv, feminin",Kriminelle
10592,"Substantiv, maskulin",Volksentscheid
10593,"Substantiv, feminin",Enge
10594,"Substantiv, maskulin",Rap
10595,"Substantiv, feminin",Schirmherrschaft
10596,"Substantiv, maskulin",Wohnbau
10597,schwaches Verb,beanstanden
10598,Adverb,mithin
10599,"Substantiv, Neutrum",Schmuckstueck
10600,Adjektiv,doll
10601,Adjektiv,leidend
10602,Adjektiv,mittelgrosz
10603,Adjektiv,unerlaesslich
10604,"Substantiv, maskulin",Sproessling
10605,Adjektiv,furios
10606,schwaches Verb,detaillieren
10607,"Substantiv, feminin",Postbank
10608,"Substantiv, Neutrum",Vieh
10609,Adjektiv,pensioniert
10610,[],erstellt
10611,Adjektiv,algerisch
10612,"Substantiv, feminin",Frisur
10613,"Substantiv, feminin",Stadtmauer
10614,"Substantiv, feminin",Kehle
10615,"Substantiv, maskulin, oder Substantiv, Neutrum",Laptop
10616,schwaches Verb,anrechnen
10617,"Substantiv, maskulin",Wetterdienst
10618,"Substantiv, Neutrum",Pathos
10619,Adjektiv,strukturiert
10620,schwaches Verb,abverlangen
10621,[],festgenommen
10622,"Substantiv, maskulin",Naturschuetzer
10623,"Substantiv, Neutrum",Imperium
10624,schwaches Verb,fluestern
10625,schwaches Verb,koepfen
10626,unregelmäßiges Verb,erstehen
10627,"['Substantiv, feminin', 'Substantiv, maskulin']",Promi
10628,"Substantiv, feminin",Bescheidenheit
10629,"Substantiv, maskulin",Ausklang
10630,"Substantiv, feminin",Kost
10631,"Substantiv, feminin",Raeumung
10632,"Substantiv, Neutrum",Subjekt
10633,[],Regierende
10634,"Substantiv, feminin",Brigade
10635,"Substantiv, Neutrum",Aktenzeichen
10636,"Substantiv, maskulin",Brennpunkt
10637,"Substantiv, maskulin",Fleisz
10638,unregelmäßiges Verb,vollbringen
10639,schwaches Verb,verzehren
10640,"Substantiv, feminin",Bildungspolitik
10641,Adjektiv,deutschfranzoesisch
10642,unregelmäßiges Verb,aufwenden
10643,"Substantiv, Neutrum",Maximum
10644,"Substantiv, maskulin",Taucher
10645,"Substantiv, Neutrum",Bistro
10646,"Substantiv, maskulin",Pfarrgemeinderat
10647,"Substantiv, maskulin",Kick
10648,schwaches Verb,skizzieren
10649,Adjektiv,tschetschenisch
10650,Adjektiv,angepasst
10651,"substantiviertes Adjektiv, feminin",Ehrenamtliche
10652,schwaches Verb,diktieren
10653,"Substantiv, maskulin",Eid
10654,"Substantiv, maskulin",Energieverbrauch
10655,"Substantiv, maskulin",Stammgast
10656,"Substantiv, feminin, oder Substantiv, maskulin",Oblast
10657,Adjektiv,zoegerlich
10658,"Substantiv, Neutrum",Bezirksgericht
10659,"substantiviertes Adjektiv, maskulin",Vorstandsvorsitzender
10660,Zahlwort,allerhand
10661,Adjektiv,gefeiert
10662,Adjektiv,weltgroeszte
10663,schwaches Verb,klicken
10664,Adjektiv,verantwortungsvoll
10665,schwaches Verb,ausruhen
10666,"Substantiv, Neutrum",Mitgliedsland
10667,"Substantiv, feminin",Spritze
10668,[],Handikap
10669,"Substantiv, feminin",Metapher
10670,"Substantiv, feminin",Entschlossenheit
10671,"Substantiv, Neutrum",Arbeitsverhaeltnis
10672,"Substantiv, feminin",Zeitreise
10673,[],oestlich
10674,Adjektiv,buddhistisch
10675,"Substantiv, feminin",Querele
10676,"Substantiv, maskulin",Schnabel
10677,"Substantiv, maskulin",Finanzausschuss
10678,Adjektiv,monumental
10679,"Substantiv, feminin",Erfolgsgeschichte
10680,"Substantiv, maskulin",Schwarm
10681,Adjektiv,statisch
10682,starkes Verb,abschieszen
10683,"['Substantiv, Neutrum', 'Substantiv, Neutrum']",Ass
10684,"Substantiv, maskulin",Grande
10685,"Substantiv, maskulin",Hauptort
10686,"Substantiv, feminin",Landesgrenze
10687,Adjektiv,abendlich
10688,"Substantiv, feminin",Schleuse
10689,"Substantiv, feminin",Fachschule
10690,Adjektiv,unregelmaeszig
10691,[],Handelsblatt
10692,"Substantiv, feminin",Rehabilitation
10693,starkes Verb,zusammenfinden
10694,"Substantiv, maskulin",Pinguin
10695,"Substantiv, feminin",Strafkammer
10696,"Substantiv, Neutrum",Messegelaende
10697,Adjektiv,unverantwortlich
10698,schwaches Verb,bombardieren
10699,"['Substantiv, maskulin', 'Substantiv, feminin']",Hisbollah
10700,"['Substantiv, maskulin', 'Substantiv, maskulin']",Mist
10701,[],erarbeitet
10702,unregelmäßiges Verb,zugestehen
10703,"Substantiv, feminin",Versprechung
10704,[],Kredo
10705,"Substantiv, Neutrum",Immunsystem
